name
"Wally Lamb"
"Joyce Carol Oates"
"Bill McKibben"
"Harold Bloom"
"Nikki Giovanni"
"Paul Auster"
"Peter Straub"
"Phillip Lopate"
"Ann Charters"
"Walter Mosley"
"David Remnick"
Sapphire
"Lorrie Moore"
"Cristina Garcia"
"Ilan Stavans"
"Michael Chabon"
"Edwidge Danticat"
"Adam Gopnik"
"Honor Moore"
"Madeleine L'Engle"
"Larry McMurtry"
"Stewart O'Nan"
"Barbara Kingsolver"
"Caroline Kennedy"
"Richard Wright"
"Carmela Ciuraru"
"Tony Hillerman"
"Sue Miller"
"Jay Atkinson"
"E. Lynn Harris"
"Laura Furman"
"Barbara Smith"
"Mark Twain"
"Susan Wittig Albert"
"Billy Collins"
"Thomas Wolfe"
"Diane Fanning"
"Salman Rushdie"
"Oscar Wilde"
"J. R. R. Tolkien"
"Maeve Binchy"
"Virginia Woolf"
"John Carey"
"John Updike"
"Christopher Hitchens"
"Jack Canfield"
"Otto Penzler"
"Marlo Thomas"
"Cathi Hanauer"
"Victor Hugo"
