bookName,ISBN_API,year
Opening Spaces: An Anthology of Contemporary African Women's Writing,9780435910105,September 1999
The Caine Prize for African Writing 2010: 11th Annual Collection,9781906523374,August 2010
African Folktales,9780394721170,August 1983
Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,9780813190761,December 2003
Women Writing Africa: West Africa and the Sahel,9781558615007,August 2005
"10 Years of the Caine Prize for African Writing: Plus Coetzee, Gordimer, Achebe, Okri",9781906523244,September 2009
Introduction to African Oral Literature and Performance,9781592211517,February 2006
Violence in Francophone African and Caribbean Women's Literature,9780803211025,December 2009
Oral Epics from Africa,9780253211101,March 2008
African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,9780912469096,October 1991
Land Apart: A South African Reader,9780140100044,June 1987
Women Writing Africa: The Eastern Region,9781558615342,February 2007
Nobody Ever Said AIDS: Poems and Stories from Southern Africa,9780795701849,March 2010
Step into a World: A Global Anthology of the New Black Literature,9780471380603,October 2000
An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,9780814781432,February 2004
The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,9781906523145,July 2009
"Traditions in World Literature: Literature of Africa, Softcover Student Edition",9780844212029,January 1999
Love Child,9781869140014,March 2002
Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,9781770091450,June 2006
Women Writing Africa: The Southern Region: Volume 1,9781558614062,December 2002
Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,9780739105627,December 2002
Less Than One and Double: A Feminist Reading of African Women's Writing,9780325070254,November 2001
The Rienner Anthology of African Literature,9781588264916,April 2007
Oral and Written Expressions of African Cultures,9781594606472,March 2009
Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,9781904456735,July 2008
Up the Down Escalator,9780795701061,March 2010
Basali!: Stories by and about Women in Lesotho,9780869809181,February 1995
How God Fix Jonah,9781563976988,October 2000
Glass Jars among Trees,9781919931234,April 2005
Running Towards Us: New Writing from South Africa,9780325002118,May 2000
Of Suffocated Hearts And Tortured Souls,9780739105634,December 2002
An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,9780814781449,February 2004
Among the Blacks,9780939691029,October 1988
The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,9780446579223,September 2010
The Best American Nonrequired Reading 2010,9780547241630,October 2010
The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,9781607886150,October 2010
100 Best-Loved Poems,9780486285535,May 1995
"The Norton Anthology of American Literature, Shorter Seventh Edition, One-Volume Paperback",9780393930573,July 2007
The Best American Poetry 2009,9781615521647,September 2009
The Oxford Book of American Short Stories,9780195092622,September 1994
